FECHA_CORTE;ANIO;ID_MES;MES;ID_PAIS;PAIS;ID_CONTINENTE;CONTINENTE;ID_OCM;OCM;DEPARTAMENTO_OCM;NUMERO_VISITANTES;BLOQUE;TIPO_VISITANTE
20260330;2023;8;AGOSTO;169;SRI LANKA;5;ASIA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;169;SRI LANKA;5;ASIA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;169;SRI LANKA;5;ASIA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;169;SRI LANKA;5;ASIA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;169;SRI LANKA;5;ASIA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;170;STO. TOMÉ Y PRÍNCIPE;6;ÁFRICA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;170;STO. TOMÉ Y PRÍNCIPE;6;ÁFRICA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;170;STO. TOMÉ Y PRÍNCIPE;6;ÁFRICA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;170;STO. TOMÉ Y PRÍNCIPE;6;ÁFRICA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;170;STO. TOMÉ Y PRÍNCIPE;6;ÁFRICA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;170;STO. TOMÉ Y PRÍNCIPE;6;ÁFRICA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;171;SUDÁFRICA;6;ÁFRICA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;171;SUDÁFRICA;6;ÁFRICA;2;SANTA ROSA;TACNA;1;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;171;SUDÁFRICA;6;ÁFRICA;3;DESAGUADERO;PUNO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;171;SUDÁFRICA;6;ÁFRICA;4;KASANI;PUNO;0;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;171;SUDÁFRICA;6;ÁFRICA;5;CEBAF - TUMBES;TUMBES;1;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;171;SUDÁFRICA;6;ÁFRICA;6;OTRAS OCM;-;2;OCEX;EXCURSIONISTAS
20260330;2023;8;AGOSTO;172;SUDÁN;6;ÁFRICA;1;AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA Y CALLAO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;172;SUDÁN;6;ÁFRICA;2;SANTA ROSA;TACNA;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;172;SUDÁN;6;ÁFRICA;3;DESAGUADERO;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;172;SUDÁN;6;ÁFRICA;4;KASANI;PUNO;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;172;SUDÁN;6;ÁFRICA;5;CEBAF - TUMBES;TUMBES;0;;EXCURSIONISTAS
20260330;2023;8;AGOSTO;172;SUDÁN;6;ÁFRICA;6;OTRAS OCM;-;0;;EXCURSIONISTAS
